Isolation Forest (PCA),Isolation Forest (Stats),Mahalanobis Distance,Combined (≥2 methods),row_index
False,False,False,False,ACH-000094
False,False,False,False,ACH-000361
False,False,False,False,ACH-000719
False,False,False,False,ACH-001396
False,False,False,False,ACH-001848
False,False,False,False,ACH-000339
False,False,False,False,ACH-002048
False,False,False,False,ACH-000218
False,False,False,False,ACH-002486
False,False,False,False,ACH-002711
True,False,False,False,ACH-000789
False,False,False,False,ACH-000413
False,False,False,False,ACH-000125
False,False,False,False,ACH-000180
False,False,False,False,ACH-000215
False,False,False,False,ACH-001001
False,False,False,False,ACH-000407
True,False,False,False,ACH-002170
False,False,False,False,ACH-002027
True,False,False,False,ACH-001132
False,False,False,False,ACH-001278
False,False,False,False,ACH-000032
False,False,False,False,ACH-003108
False,False,False,False,ACH-001419
False,False,False,False,ACH-000494
False,False,False,False,ACH-000865
False,False,False,False,ACH-000439
False,False,False,False,ACH-001523
False,False,False,False,ACH-001983
False,False,False,False,ACH-000024
False,False,False,False,ACH-000674
False,False,False,False,ACH-000670
False,False,False,False,ACH-000599
False,False,False,False,ACH-000263
False,False,False,False,ACH-003191
False,False,False,False,ACH-000303
False,False,False,False,ACH-001551
False,False,False,False,ACH-002795
False,False,False,False,ACH-000793
False,False,False,False,ACH-002511
False,False,False,False,ACH-000286
False,False,False,False,ACH-000250
False,False,False,False,ACH-000139
False,False,False,False,ACH-001735
False,False,False,False,ACH-002013
False,False,False,False,ACH-001389
False,False,False,False,ACH-001183
False,False,False,False,ACH-000551
False,True,False,False,ACH-003101
False,False,False,False,ACH-001163
False,False,False,False,ACH-000037
False,False,False,False,ACH-000744
False,False,False,False,ACH-000420
False,False,False,False,ACH-000336
False,False,False,False,ACH-000486
False,False,False,False,ACH-000679
False,False,False,False,ACH-001557
False,False,False,False,ACH-000247
False,False,False,False,ACH-000947
False,False,False,False,ACH-000807
False,False,False,False,ACH-000476
False,False,False,False,ACH-000525
False,False,False,False,ACH-003154
True,False,False,False,ACH-001148
False,False,False,False,ACH-003455
False,False,False,False,ACH-000853
False,False,False,False,ACH-000083
False,False,False,False,ACH-000479
False,False,False,False,ACH-000230
False,False,False,False,ACH-001664
False,False,False,False,ACH-002705
False,True,False,False,ACH-002937
False,False,False,False,ACH-000955
False,False,False,False,ACH-000049
False,False,False,False,ACH-000675
False,False,False,False,ACH-000199
False,False,False,False,ACH-000193
False,True,False,False,ACH-001686
False,False,False,False,ACH-000538
False,False,False,False,ACH-002490
False,False,False,False,ACH-001683
False,False,False,False,ACH-001990
False,False,False,False,ACH-001438
False,False,False,False,ACH-001647
False,False,False,False,ACH-002043
False,False,False,False,ACH-001649
False,False,False,False,ACH-000155
False,False,False,False,ACH-000270
False,True,False,False,ACH-003106
False,False,False,False,ACH-003177
False,False,False,False,ACH-000683
False,False,False,False,ACH-002017
False,False,False,False,ACH-000655
False,False,False,False,ACH-000145
False,False,False,False,ACH-001495
False,False,False,False,ACH-000188
False,False,False,False,ACH-003458
False,False,False,False,ACH-000080
False,False,False,False,ACH-000146
False,True,False,False,ACH-000415
False,False,False,False,ACH-001518
False,True,False,False,ACH-002290
False,False,False,False,ACH-000891
False,False,False,False,ACH-001625
False,False,False,False,ACH-001985
False,False,False,False,ACH-000895
False,False,False,False,ACH-000851
False,False,False,False,ACH-000824
True,False,False,False,ACH-000506
False,False,False,False,ACH-001427
False,False,False,False,ACH-000540
True,False,False,False,ACH-000061
False,False,False,False,ACH-000185
True,False,False,False,ACH-000568
False,False,False,False,ACH-000707
True,False,False,False,ACH-000603
False,False,False,False,ACH-000983
False,False,False,False,ACH-000541
False,False,False,False,ACH-000680
False,False,False,False,ACH-002460
True,False,False,False,ACH-000111
False,False,False,False,ACH-002463
False,False,False,False,ACH-000369
False,False,False,False,ACH-002928
False,False,False,False,ACH-000618
False,False,False,False,ACH-000470
False,False,False,False,ACH-003150
False,False,False,False,ACH-002039
False,False,False,False,ACH-000118
False,False,False,False,ACH-000614
False,False,False,False,ACH-001338
False,False,False,False,ACH-000432
False,False,False,False,ACH-000556
False,False,False,False,ACH-001804
False,False,False,False,ACH-001386
False,False,False,False,ACH-001060
False,False,False,False,ACH-001525
False,False,False,False,ACH-001539
False,False,False,False,ACH-000014
False,False,False,False,ACH-002785
False,False,False,False,ACH-000637
False,False,False,False,ACH-002693
False,False,False,False,ACH-001855
False,False,False,False,ACH-000455
False,False,False,False,ACH-000389
False,False,False,False,ACH-002710
False,False,False,False,ACH-000129
False,False,False,False,ACH-000490
False,False,False,False,ACH-000434
False,False,False,False,ACH-001086
False,False,False,False,ACH-002042
False,False,False,False,ACH-000597
False,False,False,False,ACH-000756
False,False,False,False,ACH-000396
False,False,False,False,ACH-003148
False,False,False,False,ACH-000089
False,True,False,False,ACH-002478
False,False,False,False,ACH-000371
False,False,False,False,ACH-000265
False,False,False,False,ACH-000132
False,False,False,False,ACH-000216
False,False,False,False,ACH-000613
False,False,False,False,ACH-000855
False,False,False,False,ACH-000906
False,False,False,False,ACH-000348
False,True,False,False,ACH-001100
False,False,False,False,ACH-000238
False,False,False,False,ACH-000237
False,False,False,False,ACH-003099
False,False,False,False,ACH-000393
False,True,False,False,ACH-003107
False,False,False,False,ACH-000623
False,False,False,False,ACH-000359
False,True,False,False,ACH-001028
False,False,False,False,ACH-000621
