,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PSCA (8000),13.795262126850778,1.6034814802920427,0.227451352360757,7.049777737741414,1.7920380389055872e-12,2.184817296620857e-11
FGFBP1 (9982),32.17528651436348,1.5976719591261275,0.2584051555421423,6.182817660019827,6.296743186243212e-10,4.9111424319431584e-09
NSUN7 (79730),1.2438711924655537,1.5882073936689614,0.15176549696477673,10.464877890114698,1.2523790770487623e-25,1.1681954893844195e-23
KRT17 (3872),217.89138852712517,1.5784163412842804,0.23095995915020126,6.834155786535197,8.248934540121658e-12,8.864090258382946e-11
AQP5 (362),1.9451816796854287,1.5764663057979416,0.445158116926705,3.5413625987134494,0.00039806612438604333,0.0010569503764227028
SPRR2E (6704),1.0209627524259708,1.5744678241294545,0.5969535870283389,2.637504587194499,0.008351849595904588,0.01680834636764475
TMEM176A (55365),6.806204523946199,1.5669887924125534,0.3711931412341817,4.221491774342773,2.426908128974989e-05,8.264804438358548e-05
TACSTD2 (4070),124.94936724582874,1.5659218750192636,0.25513115420308224,6.1377132867623185,8.371777965074468e-10,6.369339181536385e-09
CST6 (1474),29.3963201692025,1.5643015624819014,0.288990280583701,5.412990220025164,6.198087685134382e-08,3.4044130407128366e-07
PRSS22 (64063),14.647382498837649,1.5592242759333552,0.23383659026279355,6.668008091381446,2.5929849192694875e-11,2.520087192809137e-10
IHH (3549),0.8117130090309652,1.5582770427848434,0.553298017998798,2.8163430774990212,0.004857376562600566,0.010254977491562813
SEZ6 (124925),3.797964109571853,1.557192824986349,0.5287161716848968,2.9452339617756227,0.003227105380670181,0.007089198609376356
CES1 (1066),17.085800035911635,1.5535722540441768,0.3221059544870294,4.823171482558657,1.4129339508623172e-06,6.082329547076343e-06
FGF19 (9965),1.5598741134552478,1.5528616561103867,0.4238411671119196,3.663782040549963,0.00024851828372314847,0.0006841848104456362
GAST (2520),0.9938596556921843,1.5492134254933638,0.3946620432992459,3.9254178398876287,8.657931819686313e-05,0.000262771731238997
UPK1B (7348),6.331115133589526,1.529283522161168,0.4629860967372643,3.303087356052955,0.0009562659338291303,0.0023476991404582483
PCSK2 (5126),2.700206664338881,1.5285155199462512,0.5029194630952969,3.039284879807121,0.0023714049419313724,0.0053557059462186465
AKR1C2 (1646),112.91365068277346,1.5270481125838575,0.1981332234128931,7.707178464469923,1.286298662599026e-14,2.240575924553707e-13
KLK11 (11012),5.8631133075195585,1.5265424025557923,0.3353894994891218,4.551550972469563,5.325189245036603e-06,2.0645913246128137e-05
NTF4 (4909),2.043903334356674,1.525911709763079,0.19879606521419954,7.675764146131031,1.6443543378095403e-14,2.781287744767124e-13
NR0B2 (8431),1.0752630719501621,1.5248146175673256,0.5542863718373353,2.7509509434859574,0.005942254138897259,0.012325056536261963
LRRC31 (79782),0.5242977444713826,1.5245214566982717,0.45378720906516123,3.359551407010591,0.0007806912519488962,0.001951604328531938
UGT1A8 (54576),0.6870857767000279,1.5181819514082813,0.5970177653892174,2.542942671762077,0.010992326268818504,0.021515151639142648
GSTA1 (2938),1.8325322933256118,1.51730713711587,0.44110070107722527,3.4398202800639597,0.0005821005864582807,0.0014962063663669228
NPW (283869),1.8014981518487463,1.5168162259952633,0.25178704182736283,6.02420289379016,1.6994507089398421e-09,1.2238529454421046e-08
A2ML1 (144568),0.9313137939126022,1.510088024248618,0.44977066206748195,3.357462261560426,0.0007866148072402419,0.0019654772263964456
DLL1 (28514),2.887178166719413,1.508246930299587,0.20486304009731868,7.362220777272003,1.8087549147149082e-13,2.6182931566176137e-12
WNT10A (80326),5.6395277437692375,1.503012982663321,0.22308015390358693,6.73754682504347,1.6108303869728143e-11,1.6311703960649754e-10
SPANXA2 (728712),8.017970170166121,1.4928224230968348,0.3959383043920727,3.7703410014571026,0.00016302463967105595,0.000467938896535784
C15orf48 (84419),56.777144635205,1.4882536960294868,0.2105980580625609,7.066796862805742,1.5855078107978613e-12,1.9587731292646932e-11
CYP4X1 (260293),0.6580231607934656,1.480896833659578,0.32767714121998126,4.519377910055066,6.202160102564006e-06,2.363898739284792e-05
FAM83F (113828),1.157035831382194,1.4808854765352728,0.1893643621490747,7.8202965950344145,5.269902139938689e-15,9.859070278389955e-14
KLK9 (284366),0.6063980480106795,1.4772946766093744,0.6050637369634982,2.44155216444329,0.014624275383211382,0.027754489504069457
RNF39 (80352),1.1948805215542062,1.4741119561255802,0.15207569363337312,9.693277873053116,3.2202421599027954e-22,1.9084171958160778e-20
EFCAB1 (79645),0.5914723908093314,1.4730664953426327,0.3078067007116955,4.785686900046947,1.7040352756736214e-06,7.221843912866922e-06
DDC (1644),9.042349708053989,1.471740516120002,0.36766989750305035,4.002885539760001,6.257458001797987e-05,0.00019552540721574522
BBOX1 (8424),0.5204818228429636,1.4661887870105546,0.4024976545063706,3.642726288203372,0.0002697656463958102,0.0007391944463381805
AGR3 (155465),7.4100447079741105,1.4655502496414328,0.4290270688420594,3.4159855078537147,0.0006355162904184671,0.001619770218618709
HCAR3 (8843),1.1869601005617259,1.4593319119600507,0.36559858750099405,3.9916234959635415,6.56224999088728e-05,0.00020423950415863196
KRTDAP (388533),0.7987360624751139,1.456815426413774,0.6388171949561154,2.280488750015335,0.02257871726569474,0.040953963752895166
CERS3 (204219),0.5736964330791577,1.451952245974099,0.5406851286397844,2.68539334460116,0.007244449214409221,0.014766162065677135
MMP7 (4316),25.343820920178313,1.4465835294426936,0.2882732431998158,5.0180985005257615,5.218542034631053e-07,2.428848439147444e-06
KLK10 (5655),13.271123485198855,1.441165535538058,0.28880601943105505,4.990081364568299,6.035386526486782e-07,2.777863743168982e-06
UPK3B (105375355),10.228851360665345,1.4385617441458876,0.25575452539995314,5.624775326638858,1.8574957176869064e-08,1.1120988413830761e-07
TRIM29 (23650),26.467792539505,1.4382833514712654,0.23034538210132413,6.2440294585050315,4.2643962401957344e-10,3.4158507281730464e-09
CLDN8 (9073),0.5144863070328569,1.4371171458387417,0.5075897855667577,2.831257024280158,0.004636544615128509,0.009827384529887025
ANO1 (55107),13.666123400503935,1.4338195177236086,0.2276316051398171,6.298859584295951,2.998434547172718e-10,2.4669792380809356e-09
KLRC2 (3822),1.9816493850331074,1.4293149137850614,0.2906076304857753,4.918366773081079,8.726928160025612e-07,3.902731787649469e-06
NLRP11 (204801),0.801509377489878,1.4289031625202475,0.3797525120861986,3.7627220809428277,0.00016807394456893717,0.00048068172390869476
RIPPLY3 (53820),0.7353308586828623,1.427729961862811,0.2821886497436653,5.059487556142789,4.203847100345561e-07,1.993665634471944e-06
NOL4 (8715),1.6942487664388675,1.427593967377565,0.4156500120782435,3.4346058604440253,0.0005934162410014261,0.0015223685976603336
SPTB (6710),1.3985589006772519,1.4264857852943624,0.24673761183893753,5.781387663853726,7.408694563712632e-09,4.7398807265570585e-08
COLCA2 (120376),1.9125432939911229,1.4225952755540194,0.23556780823317572,6.039005440615511,1.5506701727632834e-09,1.123897223146685e-08
PTHLH (5744),15.768142355357877,1.4205699087644286,0.18844573596010694,7.5383499739424,4.759551181546614e-14,7.63271259673457e-13
OVOL2 (58495),3.433214511301961,1.4193604079846205,0.1691169628417175,8.392773759265353,4.748047489444443e-17,1.2495529319466143e-15
CYP4F3 (4051),2.6184545803398596,1.4186267623795712,0.26579958868486564,5.337204505841082,9.439055696497166e-08,5.033737280094091e-07
IVL (3713),2.699117986216395,1.4181696719607946,0.3578805056374543,3.962690478026347,7.410983681485397e-05,0.0002279546278145089
